season,cccaa_season,team,team_id,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,TB,HBP,SH,SF,XBH,HDP,GO,FO,GO/FO,BA,OBP,SLG,OPS,OPS+,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2023,2022-23,Santa Rosa,santarosa,1395,1162,255.0,354.0,66.0,10.0,36.0,235.0,28.0,3.0,157.0,201.0,548,63.0,7.0,6.0,112,33.0,258.0,324.0,0.796,0.305,0.411,0.568,0.979,114.0,0.342,0.407,0.026,0.144,0.113,0.031,0.781
2023,2022-23,Sequoias,sequoias,1335,1134,200.0,317.0,64.0,5.0,11.0,170.0,21.0,11.0,139.0,235.0,424,42.0,12.0,8.0,80,18.0,282.0,253.0,1.115,0.28,0.373,0.444,0.817,95.0,0.342,0.388,0.008,0.176,0.104,0.072,0.591
2023,2022-23,Shasta,shasta,1403,1170,290.0,353.0,64.0,11.0,36.0,263.0,62.0,11.0,149.0,223.0,547,53.0,12.0,19.0,111,17.0,275.0,313.0,0.879,0.302,0.396,0.562,0.958,112.0,0.341,0.489,0.026,0.159,0.106,0.053,0.668
2023,2022-23,Sierra,sierra,1428,1161,278.0,335.0,67.0,13.0,20.0,228.0,62.0,8.0,187.0,220.0,488,44.0,19.0,17.0,100,18.0,255.0,318.0,0.802,0.289,0.396,0.506,0.902,105.0,0.336,0.473,0.014,0.154,0.131,0.023,0.85
2023,2022-23,Siskiyous,siskiyous,1052,888,122.0,184.0,42.0,9.0,14.0,101.0,21.0,8.0,117.0,235.0,286,26.0,15.0,6.0,65,13.0,212.0,189.0,1.122,0.207,0.311,0.395,0.706,82.0,0.264,0.345,0.013,0.223,0.111,0.112,0.498
2023,2022-23,Skyline,skyline,1351,1116,262.0,333.0,70.0,14.0,30.0,240.0,55.0,15.0,154.0,238.0,521,41.0,22.0,18.0,114,15.0,247.0,267.0,0.925,0.298,0.391,0.569,0.96,112.0,0.35,0.466,0.022,0.176,0.114,0.062,0.647
2023,2022-23,Solano,solano,1272,1059,220.0,293.0,69.0,10.0,10.0,180.0,64.0,11.0,122.0,226.0,412,47.0,28.0,16.0,89,8.0,258.0,287.0,0.899,0.277,0.363,0.473,0.836,97.0,0.337,0.465,0.008,0.178,0.096,0.082,0.54
2023,2022-23,Southwestern,southwestern,1377,1144,212.0,333.0,56.0,8.0,9.0,184.0,19.0,5.0,159.0,237.0,432,52.0,13.0,9.0,73,25.0,280.0,283.0,0.989,0.291,0.395,0.441,0.836,97.0,0.357,0.379,0.007,0.172,0.115,0.057,0.671
2023,2022-23,Taft,taft,1335,1110,182.0,285.0,48.0,7.0,16.0,159.0,62.0,19.0,147.0,244.0,395,47.0,19.0,12.0,71,21.0,273.0,282.0,0.968,0.257,0.359,0.42,0.779,91.0,0.312,0.359,0.012,0.183,0.11,0.073,0.602
2023,2022-23,Ventura,ventura,1375,1152,222.0,321.0,56.0,11.0,15.0,192.0,52.0,11.0,144.0,264.0,444,57.0,5.0,17.0,82,23.0,259.0,283.0,0.915,0.279,0.38,0.457,0.837,98.0,0.344,0.408,0.011,0.192,0.105,0.087,0.545
2023,2022-23,Victor Valley,victorvalley,1146,1001,122.0,200.0,29.0,4.0,3.0,100.0,25.0,9.0,92.0,255.0,246,34.0,10.0,9.0,36,21.0,280.0,220.0,1.273,0.2,0.284,0.282,0.566,66.0,0.262,0.368,0.003,0.223,0.08,0.143,0.361
2023,2022-23,West Hills Coalinga,westhillscoalinga,1214,1020,181.0,291.0,45.0,7.0,6.0,162.0,67.0,18.0,113.0,240.0,368,56.0,9.0,16.0,58,7.0,253.0,215.0,1.177,0.285,0.379,0.418,0.797,93.0,0.361,0.385,0.005,0.198,0.093,0.105,0.471
2023,2022-23,West LA,westla,1222,1051,131.0,231.0,44.0,4.0,9.0,110.0,24.0,12.0,114.0,333.0,310,39.0,7.0,11.0,57,22.0,273.0,208.0,1.312,0.22,0.314,0.349,0.663,77.0,0.308,0.325,0.007,0.273,0.093,0.18,0.342
2023,2022-23,West Valley,westvalley,1369,1140,177.0,285.0,50.0,12.0,6.0,157.0,62.0,17.0,153.0,214.0,377,48.0,18.0,10.0,68,20.0,308.0,297.0,1.037,0.25,0.355,0.39,0.745,87.0,0.3,0.356,0.004,0.156,0.112,0.044,0.715
2023,2022-23,Yuba,yuba,1247,1069,130.0,260.0,50.0,2.0,8.0,107.0,55.0,20.0,116.0,265.0,338,42.0,13.0,7.0,60,15.0,248.0,257.0,0.965,0.243,0.335,0.372,0.707,82.0,0.314,0.298,0.006,0.213,0.093,0.12,0.438
