season,cccaa_season,team,team_id,date,location,opponent,result,team_score,opp_score,game_id,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,TB,HBP,SH,SF,XBH,HDP,GO,FO,GO/FO,BA,OBP,SLG,OPS,OPS+,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2016,2015-16,American River,americanriver,Feb 13,home,Hartnell,W,3,2,20160213_abgz,11,33,32,3.0,6.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,11.0,9,0.0,1.0,0.0,2,0.0,10.0,6.0,1.667,0.188,0.182,0.344,0.526,66.0,0.286,0.5,0.0,0.333,0.0,0.333,0.0
2016,2015-16,American River,americanriver,Feb 16,home,Solano,L,9,7,20160216_w9al,9,39,34,7.0,8.0,0.0,2.0,0.0,7.0,3.0,0.0,4.0,4.0,12,0.0,1.0,0.0,2,0.0,15.0,8.0,1.875,0.235,0.308,0.412,0.72,90.0,0.267,0.583,0.0,0.103,0.103,0.0,1.0
2016,2015-16,American River,americanriver,Feb 19,home,Butte,L,6,0,20160219_3cyc,12,32,32,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6,0.0,0.0,0.0,1,2.0,9.0,11.0,0.818,0.156,0.156,0.219,0.375,47.0,0.185,0.0,0.0,0.156,0.0,0.156,0.0
2016,2015-16,American River,americanriver,Feb 20,home,Butte,W,10,1,20160220_71kw,12,44,38,10.0,13.0,3.0,0.0,1.0,6.0,1.0,0.0,2.0,6.0,19,1.0,2.0,1.0,4,1.0,11.0,9.0,1.222,0.342,0.364,0.605,0.969,122.0,0.375,0.6,0.023,0.136,0.045,0.091,0.333
2016,2015-16,American River,americanriver,Feb 23,home,Laney,W,4,3,20160223_e365,10,41,34,4.0,9.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,4.0,11,0.0,3.0,1.0,2,1.0,10.0,13.0,0.769,0.265,0.293,0.382,0.675,85.0,0.29,0.333,0.0,0.098,0.073,0.025,0.75
2016,2015-16,American River,americanriver,Feb 25,home,Mission,L,6,1,20160225_gen8,12,42,35,1.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,6.0,10.0,6,1.0,0.0,0.0,1,0.0,11.0,9.0,1.222,0.143,0.286,0.2,0.486,61.0,0.2,0.083,0.0,0.238,0.143,0.095,0.6
2016,2015-16,American River,americanriver,Feb 27,home,Mission,L,13,2,20160227_vyfp,16,39,31,2.0,6.0,0.0,0.0,0.0,2.0,1.0,1.0,5.0,11.0,6,2.0,1.0,0.0,0,2.0,9.0,3.0,3.0,0.194,0.333,0.194,0.527,66.0,0.3,0.154,0.0,0.282,0.128,0.154,0.455
2016,2015-16,American River,americanriver,Feb 4,home,Shasta,W,6,3,20160204_nnti,9,37,30,6.0,8.0,0.0,0.0,0.0,6.0,2.0,1.0,5.0,1.0,8,2.0,0.0,0.0,0,1.0,7.0,14.0,0.5,0.267,0.405,0.267,0.672,84.0,0.276,0.4,0.0,0.027,0.135,-0.108,5.0
2016,2015-16,American River,americanriver,Feb 5,home,Feather River,L,7,6,20160205_3pnj,10,59,53,6.0,11.0,1.0,0.0,0.0,2.0,3.0,0.0,4.0,5.0,12,2.0,0.0,0.0,1,0.0,21.0,12.0,1.75,0.208,0.288,0.245,0.533,67.0,0.229,0.353,0.0,0.085,0.068,0.017,0.8
2016,2015-16,American River,americanriver,Feb 6,home,Shasta,W,9,3,20160206_98al,11,45,38,9.0,13.0,3.0,0.0,0.0,6.0,3.0,0.0,6.0,3.0,16,0.0,1.0,0.0,3,0.0,11.0,12.0,0.917,0.342,0.422,0.5,0.922,116.0,0.371,0.474,0.0,0.067,0.133,-0.066,2.0
