date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,cccaa_season,team,team_id,player_id,player_name
Apr 23,home,Mt. San Antonio,L,13-5,13.0,5.0,8,win,,,,,,,,,,,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
Apr 26,home,Long Beach,L,10-5,10.0,5.0,5,win,20220426_sed6,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
Apr 28,home,Long Beach,L,12-5,12.0,5.0,7,win,20220428_e0lv,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
Apr 29,home,Long Beach,L,10-4,10.0,4.0,6,win,20220429_zoiu,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
Jan 20  #,home,Rio Hondo,,,,,5,win,,,,,,,,,,,,,2022,,Victor Valley,victorvalley,stevenmurrayssru,Steven Murray
Jan 27,home,Mt. San Antonio,L,12-3,12.0,3.0,9,win,,,,,,,,,,,,,2022,,Victor Valley,victorvalley,stevenmurrayssru,Steven Murray
Feb 1,home,Grossmont,L,20-8,20.0,8.0,12,win,,,,,,,,,,,,,2022,,Victor Valley,victorvalley,stevenmurrayssru,Steven Murray
Feb 3,home,Imperial Valley,W,8-6,8.0,6.0,2,win,,,,,,,,,,,,,2022,,Victor Valley,victorvalley,stevenmurrayssru,Steven Murray
Feb 10,home,LA Mission,L,16-1,16.0,1.0,15,win,20220210_gjw1,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Victor Valley,victorvalley,stevenmurrayssru,Steven Murray
Feb 12,home,Cerritos,L,10-9,10.0,9.0,1,win,20220212_rxtp,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Victor Valley,victorvalley,stevenmurrayssru,Steven Murray
Feb 16,home,Antelope Valley,L,28-11,28.0,11.0,17,win,20220216_j5b2,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Victor Valley,victorvalley,stevenmurrayssru,Steven Murray
Feb 17,home,San Diego City,L,7-3,7.0,3.0,4,win,20220217_7imu,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Victor Valley,victorvalley,stevenmurrayssru,Steven Murray
Feb 19,home,Imperial Valley,W,10-7,10.0,7.0,3,win,20220219_qp6s,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Victor Valley,victorvalley,stevenmurrayssru,Steven Murray
Feb 22,home,Antelope Valley,L,14-13,14.0,13.0,1,win,20220222_htj7,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Victor Valley,victorvalley,stevenmurrayssru,Steven Murray
Feb 24,home,Antelope Valley,W,8-3,8.0,3.0,5,win,20220224_fnjf,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Victor Valley,victorvalley,stevenmurrayssru,Steven Murray
Feb 26,home,Barstow,W,9-8,9.0,8.0,1,win,20220226_h8zv,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Victor Valley,victorvalley,stevenmurrayssru,Steven Murray
Mar 1,home,Citrus,L,16-12,16.0,12.0,4,win,,,,,,,,,,,,,2022,,Victor Valley,victorvalley,stevenmurrayssru,Steven Murray
Mar 3,home,Cerro Coso,L,13-0,13.0,0.0,13,win,,,,,,,,,,,,,2022,,Victor Valley,victorvalley,stevenmurrayssru,Steven Murray
Mar 5,home,Desert,L,28-10,28.0,10.0,18,win,,,,,,,,,,,,,2022,,Victor Valley,victorvalley,stevenmurrayssru,Steven Murray
